Lokasi,Komoditas,Januari 2018,Februari 2018,Maret 2018,April 2018,Mei 2018,Juni 2018,Juli 2018,Agustus 2018,September 2018,Oktober 2018,November 2018,Desember 2018,Januari 2019,Februari 2019,Maret 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 2019,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 2021,Oktober 2021,November 2021,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 2022,Oktober 2022,November 2022,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 2023,Mei 2023,Juni 2023
Aceh,Bawang merah,30152.17,27000,,33583.33,36500,37642.86,33250,,26250,21000,25693.18,32133.33,32318.18,30409.09,32725,40000,40000,39610,31571.74,28341.18,,23865.22,30902.38,32150,44138.89,43957.58,39352.63,45033.33,61945.24,50304.35,33647.83,31609.09,28517.5,32614.29,37864.29,36982.5,36675,34460.53,34236.36,34802.27,33886.11,30878.57,33235.71,33105,26836.36,25972.5,27800,29636.96,29742.86,31905.56,35854.55,35020,40523.33,58076.92,57969.05,34695.65,33293.18,35219.05,35350,33140.91,35728.57,38397.5,34733.33,33123.68,34440.48,35452.94
Sumatera Utara,Bawang merah,25234.78,22675,22400,36795.24,35606.25,32800,29303.33,27150,21362.5,21775,25013.64,26900,26629.55,25318.75,33235,34466.67,34316.67,35240.91,32651.85,25796.67,,22918.06,28372.58,30400,37900,33839.77,32462.75,41387.5,54028.85,44523.21,30991.07,25421.15,26059.18,28707.69,32109.26,30404.55,28705,28066.67,29897.83,31863.04,30982.5,29078.26,29526.19,32187.5,29104.17,28105,27582.61,27993.48,29245.24,31027.78,32686.36,32475,40031.67,52494.87,52469.05,37278.26,33161.36,32557.14,31713.64,30845.45,33340.48,35045,32373.81,30131.58,30414.29,33005.88
Sumatera Barat,Bawang merah,22680.43,20650,,33038.1,29364.29,24857.14,26384.38,,19225,15900,17961.36,25770,24770.45,22110,31000,34825,33825,31566.67,26765.22,19228.57,,20937.93,25191.67,25800,33620.27,32602.78,32155.95,37954.84,49784.78,39291.67,23298,20611.67,22443.86,23539.58,28170.83,25505,25825,24721.67,27637.04,26623.91,26826.32,23780.95,25509.09,30273.81,25626.79,21277.08,18795.71,23788,26200,27850,28730.43,31602.5,44861.67,51879.49,48197.62,29558.7,28070.45,29221.43,28279.55,23209.09,30071.43,30315,29740.48,27218.42,29307.14,29361.76
Riau,Bawang merah,22826.09,21475,,33938.1,29064.29,28608.33,26978.13,24150,20387.5,20025,22693.18,24665.63,26218.18,23544.44,31820,32000,32000,34209.09,29869.57,24479.41,,22243.48,27600,28200,35076.47,31196.97,31048.72,38173.44,51741.3,42306.52,28384.78,24756.82,25318.75,28264.29,31176.19,28885,26135,26947.37,28950,29272.73,29755.26,25423.81,27369.05,29500,25295.45,24512.5,23220.45,25104.35,25923.81,28630.56,31177.27,31740,39378.33,47573.08,47940.48,33441.3,31702.27,31747.62,30747.73,28029.55,32023.81,34390,31383.33,29557.89,31542.86,33855.88
Jambi,Bawang merah,19239.13,18000,,33478.57,29531.25,24750,23281.25,23000,19000,20200,23045.45,24250,24493.18,21135,28902.5,31300,31300,32500,26456.52,20632.35,,20076.09,26014.29,28038.89,29908.82,27645.45,29147.37,37813.33,47139.13,41393.48,27704.35,23806.82,24443.75,24030.95,28919.05,25962.5,24900,24397.37,28011.36,27607.14,28842.11,22916.67,25761.9,27612.5,24318.18,23412.5,19022.73,21236.96,22928.57,30750,32056.82,32212.5,40908.33,50666.67,46940.48,29945.65,28886.36,30266.67,27965.91,26761.36,31952.38,31887.5,29571.43,26618.42,28261.9,30794.12
Sumatera Selatan,Bawang merah,23319.57,20500,25250,35800,37142.86,38050,33273.33,25350,26125,24380,28129.55,29026.67,32750,30033.33,34557.5,40616.67,39500,37140,30662.2,27229.17,,24478.26,29897.62,32462.5,38527.78,35112.12,40460.53,45733.33,52554.76,50584.78,36154.35,28927.27,29215,32097.62,35311.9,31432.5,29140,31886.84,36515.91,34390.48,33752.78,30676.19,33461.9,30990.48,25700,26183.33,24604.55,25430.43,27688.1,35005.56,36186.36,35840,43755,53894.87,56664.29,36834.78,32445.45,33533.33,32427.27,31463.64,37300,40550,36545.24,37734.21,39202.38,39402.94
Bengkulu,Bawang merah,24086.96,20000,,38285.71,36875,36800,33187.5,,23000,22000,24863.64,29200,30931.82,26700,34550,44000,,35000,30891.3,23847.22,,21521.74,28547.62,33333.33,36161.76,32743.94,36911.84,43518.33,52678.26,48610.87,33576.09,28121.43,29548.75,33560,38416.67,34181.58,30315,32263.16,38204.55,36500,35000,34047.62,35142.86,34950,29863.64,27450,26159.09,26608.7,29285.71,36750,38795.45,37000,45100,53653.85,59380.95,38152.17,34636.36,34833.33,35613.64,36250,42095.24,41757.5,37911.9,35602.63,38259.52,41055.88
Lampung,Bawang merah,16554.35,17250,,29188.1,29712.5,30957.14,24078.13,,18937.5,18190,21959.09,23580,24386.36,21257.14,28717.5,35450,31775,31212.5,25543.48,20702.94,,20123.91,26402.38,27805.56,28416.18,25345.45,30623.68,42306.67,47809.52,43532.61,29921.74,25568.18,25580,30107.14,31723.81,27847.5,25227.5,29689.47,31750,28647.62,29108.33,27485.71,30130.95,27682.5,23654.55,23247.5,19729.55,21219.57,23133.33,31561.11,28865.91,30475,40586.67,51458.97,53488.1,30769.57,29415.91,30026.19,28036.36,29420.45,36628.57,36417.5,30764.29,36171.05,40295.24,38400
Bangka Belitung,Bawang merah,26695.65,25000,,38083.33,38812.5,40750,35828.13,30000,25500,22700,27363.64,30062.5,29863.64,28000,35250,46000,40000,36675,33728.26,27989.58,,24127.27,31200,32954.55,35969.39,31454.08,35879.81,47338.54,57275.86,53645.71,38534.38,30908.57,30085.11,35514.52,38336.67,35967.39,32000,33856.67,37256.94,35095.59,36625,33826.09,36479.17,34724,30525,30967.39,28660,29217.39,30833.33,38694.44,39031.82,36637.5,47290,56723.08,66033.33,41286.96,35988.64,35761.9,36952.27,36829.55,42904.76,45142.5,38216.67,35918.42,47578.57,45614.71
Kepulauan Riau,Bawang merah,32021.74,32000,,32428.57,29437.5,29678.57,29366.67,,29250,25800,26579.55,30625,33409.09,32187.5,30250,28000,28250,28555.56,34360.87,29279.41,,24945.65,32171.43,35888.89,40058.82,36059.09,35065.79,39258.33,35916.67,34206.52,34456.52,31386.36,30300,35431.82,39916.67,40355.26,37000,31631.58,28056.82,25214.29,25888.89,28273.81,28321.43,33825,31500,28417.5,29852.27,28250,32083.33,30888.89,27227.27,26775,26566.67,27608.97,32357.14,31217.39,31443.18,32476.19,40363.64,40579.55,38419.05,33755,30619.05,28797.37,30076.19,32397.06
