,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I. Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2018-01-01,30152.17,25234.78,22680.43,22826.09,19239.13,23319.57,24086.96,16554.35,26695.65,32021.74,26052.17,19882.61,17632.61,18706.52,19189.13,19456.52,21389.13,17502.17,24608.7,25086.96,23682.61,20763.04,24506.52,29673.91,29695.65,24391.3,19084.78,30160.87,28695.65,26630.43,29786.96,35650.0,38478.26,37126.09
2018-02-01,27000.0,22675.0,20650.0,21475.0,18000.0,20500.0,20000.0,17250.0,25000.0,32000.0,24100.0,19350.0,17025.0,17000.0,17125.0,18150.0,20250.0,17050.0,25000.0,23250.0,22625.0,20075.0,23900.0,30000.0,30000.0,22750.0,19575.0,28150.0,28000.0,25000.0,31500.0,35650.0,40000.0,37500.0
2018-03-01,30291.665,22400.0,26844.05,27706.55,25739.285,25250.0,29142.855,23219.05,31541.665,32214.285,32200.0,23966.665,22700.0,22564.285,21300.0,25503.57,27345.24,14000.0,24000.0,26600.0,31229.165,28333.93,31263.095,30000.0,36857.145000000004,29029.76,26280.355,28500.0,35785.715,32523.81,34552.380000000005,36300.0,40000.0,35800.0
2018-04-01,33583.33,36795.24,33038.1,33938.1,33478.57,35800.0,38285.71,29188.1,38083.33,32428.57,34047.62,28583.33,29654.76,28128.57,30728.57,32857.14,34440.48,29376.19,27738.1,30811.9,39833.33,36592.86,38626.19,43107.14,43714.29,35309.52,32985.71,38357.14,43571.43,40047.62,37604.76,47747.62,47380.95,44838.1
2018-05-01,36500.0,35606.25,29364.29,29064.29,29531.25,37142.86,36875.0,29712.5,38812.5,29437.5,35200.0,32243.75,29543.75,27212.5,29012.5,34418.75,32385.71,26531.25,29281.25,31078.57,38555.56,36278.57,33944.44,41625.0,45857.14,31875.0,34506.25,40187.5,40000.0,35875.0,40771.43,51481.25,55000.0,51105.56
2018-06-01,37642.86,32800.0,24857.14,28608.33,24750.0,38050.0,36800.0,30957.14,40750.0,29678.57,37533.33,33064.29,30362.5,27818.75,29306.25,34078.57,28771.43,21507.14,29028.57,28857.14,36375.0,32935.71,30987.5,38000.0,42375.0,29000.0,32150.0,35985.71,39142.86,35000.0,42214.29,48187.5,51093.75,52285.71
2018-07-01,33250.0,29303.33,26384.38,26978.13,23281.25,33273.33,33187.5,24078.13,35828.13,29366.67,31915.63,27175.0,23662.5,21484.38,22521.88,28818.75,23087.5,16196.88,23166.67,29193.33,29640.63,26406.67,28315.63,35816.67,33875.0,29266.67,29720.0,35718.75,31812.5,33333.33,40300.0,44259.38,48984.38,47953.13
2018-08-01,29750.0,27150.0,22804.690000000002,24150.0,23000.0,25350.0,28093.75,21507.815000000002,30000.0,29308.335,29900.0,25000.0,22250.0,20650.0,20300.0,27000.0,20750.0,13529.689999999999,18583.335,24877.915,23250.0,23322.085,25100.0,30000.0,31562.5,25000.0,26800.0,32000.0,28000.0,26000.0,34500.0,40000.0,44492.19,40000.0
2018-09-01,26250.0,21362.5,19225.0,20387.5,19000.0,26125.0,23000.0,18937.5,25500.0,29250.0,25137.5,22875.0,16562.5,15650.0,17275.0,20275.0,18637.5,10862.5,14000.0,20562.5,22625.0,20237.5,22025.0,28000.0,29250.0,27500.0,23725.0,31025.0,30000.0,25000.0,28600.0,40200.0,40000.0,35200.0
2018-10-01,21000.0,21775.0,15900.0,20025.0,20200.0,24380.0,22000.0,18190.0,22700.0,25800.0,24610.0,22162.5,18370.0,15225.0,16700.0,22690.0,17500.0,11930.0,15000.0,21037.5,19250.0,19237.5,20500.0,25000.0,26250.0,26000.0,22250.0,28920.0,23750.0,25000.0,25400.0,38040.0,36250.0,33300.0
