,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I. Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2018-06-01,10800.0,12314.29,11900.0,13750.0,11762.5,10825.0,12066.67,11678.57,12168.75,13300.0,12400.0,12750.0,13150.0,12100.0,11633.33,11314.29,11000.0,9650.0,12066.67,13020.0,12864.29,12966.67,12807.14,14450.0,11414.29,11666.67,11075.0,11116.67,11071.43,13680.0,13525.0,13950.0,13200.0
2018-07-01,11176.67,12271.88,11900.0,13750.0,11890.0,11096.67,11084.38,11684.38,12118.75,13250.0,12053.13,12440.63,13131.25,12084.38,11634.38,11134.38,11000.0,9960.0,12162.5,13000.0,12928.13,12571.88,12800.0,14406.67,11400.0,11828.13,10584.38,11336.67,11187.5,13810.0,13471.88,13646.88,13193.75
2018-08-01,11200.0,12250.0,11900.0,14000.0,11700.0,11100.0,11100.0,11950.0,12200.0,13250.0,12189.064999999999,12600.0,13200.0,12050.0,11700.0,11150.0,11000.0,10000.0,11800.0,13000.0,12900.0,12150.0,12850.0,14115.835,11400.0,11750.0,10500.0,11450.0,11200.0,13650.0,13650.0,14300.0,13171.875
2018-09-01,10912.5,12387.5,11900.0,13925.0,20187.5,10962.5,12200.0,12087.5,12175.0,13312.5,12325.0,12275.0,12912.5,11983.33,11225.0,11175.0,11000.0,10000.0,12025.0,12983.33,12987.5,11950.0,12862.5,13825.0,11425.0,11500.0,10825.0,10975.0,11200.0,13650.0,13612.5,13925.0,13150.0
2018-10-01,11212.5,12025.0,12425.0,13875.0,11212.5,11175.0,12050.0,12175.0,12200.0,13250.0,11950.0,12300.0,12637.5,11937.5,11900.0,11250.0,10625.0,11000.0,12087.5,13000.0,13025.0,12600.0,12800.0,13562.5,11400.0,11750.0,10700.0,11200.0,11200.0,13600.0,13600.0,13662.5,13162.5
2018-11-01,11404.55,12088.64,12661.36,14806.82,11172.73,11445.45,12161.36,12229.55,12181.82,13261.36,12361.36,12277.27,12325.0,11935.71,11890.91,11313.64,11000.0,10923.81,12050.0,13000.0,13090.91,12413.64,12768.18,13550.0,11404.55,11720.45,10797.73,11104.55,11200.0,13572.73,13584.09,13990.91,13150.0
2018-12-01,11450.0,12306.25,12726.67,14966.67,11370.0,11446.67,12062.5,12203.33,12250.0,13250.0,12271.43,12000.0,12006.25,11864.29,12060.0,11531.25,11716.67,11000.0,12076.47,13000.0,13106.67,12289.29,12800.0,13771.88,11407.14,11756.67,10736.67,11193.75,11200.0,13493.33,13593.75,13983.33,13150.0
2019-01-01,10985.71,12578.57,12895.24,15000.0,12321.43,11450.0,12514.29,12302.38,12461.9,13211.9,12026.19,11976.19,12023.81,12045.24,12164.29,12119.05,11904.76,11000.0,12000.0,13071.43,13092.86,12750.0,12600.0,14500.0,11400.0,11742.86,11000.0,10185.71,11200.0,13126.19,13583.33,14291.18,13150.0
2019-02-01,11009.09,12550.0,12910.0,14975.0,12344.44,11444.44,12645.0,12111.11,12488.89,13200.0,12016.67,12316.67,12087.5,12210.0,12187.5,12087.5,12000.0,11000.0,12235.71,13094.44,13187.5,12383.33,12618.75,14268.75,11400.0,11714.29,10883.33,10171.43,11350.0,13100.0,13628.57,14300.0,13172.22
2019-03-01,10732.5,12537.5,12822.5,14995.0,12355.0,11447.5,12257.5,11980.0,12392.5,13270.0,11982.5,12075.0,12090.0,12217.5,12155.0,11340.0,11625.0,11002.5,12112.5,13087.5,13230.0,12600.0,12577.5,13845.0,11317.5,11750.0,9982.5,10092.5,11400.0,13097.5,13540.0,14015.38,13270.0
2019-04-01,10200.0,12550.0,12850.0,14800.0,12350.0,11225.0,11850.0,11950.0,12100.0,13600.0,11750.0,11800.0,11950.0,11700.0,11950.0,10550.0,11000.0,11150.0,13450.0,13050.0,12875.0,13200.0,12650.0,13500.0,11200.0,11850.0,11100.0,10550.0,12000.0,14050.0,13500.0,13800.0,13300.0
2019-05-01,10300.0,11775.0,12850.0,14700.0,12350.0,11225.0,11850.0,11675.0,12100.0,13550.0,11750.0,12150.0,11950.0,11750.0,12150.0,10700.0,11000.0,10800.0,14850.0,13175.0,12937.5,13100.0,12550.0,13500.0,11150.0,11750.0,11150.0,10459.375,11825.0,14050.0,13450.0,13800.0,13250.0
2019-06-01,11005.56,12100.0,12786.36,14636.36,11600.0,11166.67,12027.27,11887.5,12005.0,13675.0,12100.0,12030.0,11527.27,11918.75,12050.0,11037.5,11277.27,10477.78,13655.0,13050.0,13185.29,13816.67,12762.5,13668.75,10916.67,11722.22,11118.75,10368.75,12000.0,13555.56,13294.44,13611.11,13161.11
2019-07-01,11130.43,12082.61,12997.83,14626.09,11767.39,11253.57,12480.43,12100.0,12358.7,13930.43,11880.43,11976.09,11943.48,12106.52,11884.78,11058.7,11548.15,10543.48,13671.74,13095.65,13265.12,14004.35,12767.39,13567.39,11043.48,11686.96,11219.57,10576.09,12000.0,13073.91,13536.96,13313.04,13189.13
2019-08-01,11444.44,12069.44,12877.78,14638.89,11766.67,11324.0,12694.44,12086.11,12544.44,13800.0,11673.53,12016.67,11905.56,11882.35,11803.13,11058.82,11510.0,10366.67,13630.56,13100.0,13230.3,14011.76,12736.11,13541.67,11138.24,11675.0,11291.67,10511.76,12000.0,13435.29,13486.11,13350.0,13197.22
2019-09-01,11493.96,11990.155,12866.065,14617.27,11763.77,11388.085,12676.57,12145.23,12459.175,13800.0,11663.94,12002.9,11904.955,11814.0,11808.085,11065.279999999999,11555.0,10428.985,13468.54,13101.085,13177.22,13958.055,12783.27,13539.314999999999,11144.119999999999,11696.195,11356.705,10484.14,12000.0,13473.0,13511.535,13327.175,13196.435
2019-10-01,11543.48,11910.87,12854.35,14595.65,11760.87,11452.17,12658.7,12204.35,12373.91,13800.0,11654.35,11989.13,11904.35,11745.65,11813.04,11071.74,11600.0,10491.3,13306.52,13102.17,13124.14,13904.35,12830.43,13536.96,11150.0,11717.39,11421.74,10456.52,12000.0,13510.71,13536.96,13304.35,13195.65
2019-11-01,12969.05,11952.38,12850.0,14526.19,11552.38,11445.24,12407.14,12238.1,12523.81,13802.38,11719.05,12007.14,12028.57,11621.43,11769.05,11104.76,11600.0,10711.9,13354.76,13100.0,13078.57,13185.71,12807.14,13550.0,11157.14,11707.14,11383.33,10447.62,12000.0,13770.83,13504.76,13326.19,13192.86
2019-12-01,11587.5,12206.25,12850.0,14543.75,11550.0,11461.11,12250.0,12250.0,12225.0,13800.0,11656.25,11643.75,11972.22,11450.0,11800.0,11125.0,11600.0,10650.0,13262.5,13100.0,13075.0,13075.0,12793.75,13561.11,11150.0,11750.0,11381.25,10300.0,12000.0,13955.56,13500.0,13333.33,13194.44
2020-01-01,11090.48,12671.43,12900.0,14652.38,11600.0,11411.36,12047.62,12247.62,12035.71,13800.0,11933.33,11702.38,11978.57,11566.67,12083.33,11575.0,11663.64,11088.1,11990.48,13100.0,13152.38,13168.18,12754.76,14488.1,11230.95,11750.0,11333.33,9850.0,12000.0,13100.0,13511.9,13790.48,13247.62
2020-02-01,11052.5,12760.0,12932.5,14640.0,11547.5,11452.5,12097.5,12250.0,12017.5,13800.0,11825.0,11687.5,12005.0,11577.5,12139.47,11433.33,11650.0,11157.5,12000.0,13107.5,13047.5,13235.71,12832.5,14475.0,11217.5,11475.0,11482.5,9847.5,12000.0,13100.0,13507.5,13680.0,13252.5
2020-03-01,10804.76,12819.05,13166.67,14645.24,11550.0,11459.52,12378.57,12333.33,12116.67,13800.0,11838.1,11778.57,12116.67,11464.29,12195.24,11500.0,11733.33,11209.52,12000.0,13147.62,13076.19,13138.1,12828.57,14488.1,11288.1,11366.67,11550.0,10507.14,12000.0,13102.38,13504.76,13657.14,13250.0
2020-04-01,11271.74,12690.48,13107.14,14650.0,11535.71,11500.0,12500.0,12488.1,12395.24,13800.0,11914.29,11907.14,12121.43,11473.81,12040.48,11445.45,11750.0,11042.86,12000.0,13147.62,13597.62,13452.38,12916.67,13795.24,11540.48,11630.95,11326.19,11107.14,12000.0,13911.9,13504.76,13338.64,13245.24
2020-05-01,11328.95,12790.0,13115.0,14630.0,11450.0,11473.68,12155.0,12336.11,12334.21,13821.05,12222.5,12120.0,12057.5,11830.0,11944.44,11466.67,11630.0,11000.0,12000.0,13169.44,14781.58,14268.42,12972.5,13700.0,11510.0,11210.0,11352.94,10902.78,12000.0,13860.0,13477.5,13450.0,13245.0
2020-06-01,11402.38,12588.1,12938.1,14640.48,11552.38,11500.0,11966.67,12257.14,12233.33,13466.67,11880.95,12052.38,12188.1,11457.14,12033.33,11630.95,11952.38,11021.43,12102.38,13147.62,14519.05,14378.57,12890.48,13700.0,11550.0,11226.19,11333.33,10602.38,12000.0,14047.62,13526.19,13292.86,13221.43
2020-07-01,11368.18,12472.73,12927.27,14593.18,11559.09,11459.09,12000.0,12236.36,12195.45,13300.0,11636.36,12095.45,12293.18,11450.0,12056.82,11336.36,12000.0,10952.27,12000.0,13138.64,14502.27,14304.55,12813.64,13700.0,11565.91,11250.0,11336.36,10645.45,12000.0,14047.73,13522.73,13325.0,13190.91
2020-08-01,11455.56,12708.33,12955.56,14600.0,11550.0,11577.78,12000.0,12200.0,12122.22,13300.0,11719.44,12225.0,12361.11,11444.44,12036.11,11400.0,11986.11,10708.33,11980.56,13136.11,14322.22,14372.22,12838.89,13691.67,11547.22,11241.67,11319.44,10608.33,12000.0,13861.11,13508.33,13316.67,13202.78
2020-09-01,11431.82,12925.0,12940.91,14602.27,11536.36,11504.55,12000.0,12220.45,11938.64,13300.0,11727.27,12320.45,12354.55,11477.27,11900.0,11400.0,12000.0,10650.0,11975.0,13134.09,14100.0,14350.0,12852.27,13700.0,11565.91,11250.0,11295.45,10550.0,12000.0,13879.55,13513.64,13331.82,13202.27
2020-10-01,11355.26,12895.24,12944.74,14600.0,11550.0,11415.79,12000.0,12300.0,11871.05,13300.0,11631.58,12139.47,12357.89,11647.37,11942.11,11421.05,11973.68,10747.37,12000.0,13107.89,14134.21,14294.74,13242.11,13747.37,11555.26,11255.26,11305.26,10494.74,12000.0,13860.0,13492.11,13371.05,13200.0
2020-11-01,11378.57,12907.14,12942.86,14600.0,11550.0,11347.62,12000.0,12257.14,11883.33,13300.0,11609.52,12047.62,12359.52,11650.0,11907.14,11459.52,11988.1,10666.67,12000.0,13092.86,13930.95,14219.05,13397.62,13692.86,11550.0,11261.9,11280.95,10550.0,12000.0,14004.76,13516.67,13385.71,13202.38
2020-12-01,11372.5,12900.0,12955.0,14560.53,11550.0,11347.37,11995.0,12292.5,11910.53,13300.0,11682.5,12050.0,12380.0,11610.53,11822.5,11352.5,12000.0,11084.21,11965.0,13102.5,13821.05,13855.26,13270.0,13697.37,11542.11,11236.84,11262.5,10550.0,12000.0,14050.0,13500.0,13407.5,13202.5
2021-01-01,10782.5,12855.0,12970.0,14625.0,11550.0,11340.0,12000.0,12290.0,11985.0,13300.0,11687.5,11952.5,12015.0,11832.5,12395.0,11032.5,11957.5,11000.0,12000.0,13327.5,13805.0,14210.0,12780.0,14500.0,11550.0,11297.5,11220.0,10220.0,12000.0,13105.0,13500.0,13727.5,13180.0
