,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I. Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
2018-01-01,29263.04,31328.26,39069.57,30986.96,35895.65,34080.43,38652.17,32793.48,34184.78,36434.78,31471.74,35423.91,35204.35,34723.91,32782.61,36456.82,34647.83,40289.13,42391.3,31028.26,32858.7,28763.04,29178.26,41065.22,28130.43,25478.26,25139.13,32071.74,31108.7,24000.0,40052.17,34897.83,41956.52,42282.61
2018-02-01,27050.0,29000.0,36650.0,30150.0,31800.0,31325.0,33750.0,33000.0,33750.0,37000.0,30800.0,34900.0,32350.0,32975.0,32200.0,36300.0,34750.0,36650.0,42500.0,28100.0,30500.0,26025.0,27000.0,38000.0,27000.0,25250.0,24750.0,31950.0,28000.0,24000.0,33000.0,36000.0,45000.0,40000.0
2018-03-01,25729.760000000002,29525.0,36669.05,28951.190000000002,32371.43,32161.31,34220.240000000005,33550.0,35517.854999999996,34220.24,30896.43,34844.05,32723.81,32402.975,31607.145,35063.095,36277.380000000005,39257.145000000004,35753.57,30446.43,32119.05,27014.879999999997,28602.379999999997,39202.380000000005,27190.475,26172.620000000003,24985.715,33535.715,28214.285,23666.665,36078.57,36876.19,41577.380000000005,40000.0
2018-04-01,24409.52,30050.0,36688.1,27752.38,32942.86,32997.62,34690.48,34100.0,37285.71,31440.48,30992.86,34788.1,33097.62,31830.95,31014.29,33826.19,37804.76,41864.29,29007.14,32792.86,33738.1,28004.76,30204.76,40404.76,27380.95,27095.24,25221.43,35121.43,28428.57,23333.33,39157.14,37752.38,38154.76,40000.0
2018-05-01,23471.43,29578.57,37578.57,31541.67,35228.57,35392.86,41250.0,35857.14,38375.0,31875.0,35085.71,36250.0,34435.71,33771.43,33871.43,36825.0,37535.71,38818.75,29400.0,33857.14,37464.29,31528.57,34835.71,39642.86,30428.57,30514.29,27757.14,35642.86,32000.0,24857.14,38162.5,38985.71,41428.57,40714.29
2018-06-01,22285.71,27710.0,36920.0,29120.0,31700.0,34428.57,37583.33,37285.71,32375.0,33250.0,34266.67,37368.75,36670.0,35930.0,35075.0,37892.86,36766.67,38871.43,28975.0,38007.14,40041.67,31733.33,35285.71,40833.33,34857.14,29000.0,29916.67,37912.5,33428.57,27142.86,43560.0,40142.86,43593.75,41428.57
2018-07-01,28093.75,32559.38,43637.5,36290.63,38150.0,39350.0,40400.0,39968.75,32466.67,36234.38,31821.88,39106.25,37221.88,36687.5,34460.0,39615.63,39868.75,45834.38,37812.5,33683.33,38906.25,31083.33,30700.0,47766.67,34281.25,31671.88,31996.88,36609.38,34000.0,30000.0,48306.67,45703.13,40000.0,40000.0
2018-08-01,28500.0,35250.0,45000.0,32107.815,36300.0,42500.0,44000.0,37434.375,31358.335,36148.44,33450.0,37900.0,34785.94,39000.0,32480.0,40500.0,40500.0,38473.44,40000.0,41000.0,35750.0,29529.165,38000.0,51500.0,35500.0,29148.440000000002,31035.940000000002,38850.0,36000.0,30000.0,49903.335,43300.0,41250.0,40000.0
2018-09-01,23562.5,28525.0,37850.0,27925.0,29450.0,29562.5,32250.0,34900.0,30250.0,36062.5,31050.0,34100.0,32350.0,32487.5,30500.0,36825.0,36187.5,31112.5,44375.0,31837.5,32375.0,27975.0,27987.5,43750.0,34250.0,26625.0,30075.0,38912.5,34000.0,30000.0,51500.0,43525.0,42500.0,40000.0
2018-10-01,20000.0,28000.0,34537.5,27750.0,31025.0,29850.0,30375.0,32437.5,30375.0,33875.0,30637.5,34312.5,32375.0,32062.5,30237.5,35350.0,34387.5,42312.5,40625.0,30487.5,38250.0,30975.0,30287.5,43000.0,29375.0,20000.0,26400.0,38925.0,34000.0,27500.0,44250.0,42900.0,40125.0,40000.0
2018-11-01,22068.18,27772.73,34861.36,26625.0,29379.55,28752.27,30136.36,32045.45,33295.45,36647.73,30443.18,34206.82,32861.36,32022.73,32584.09,35802.27,36813.64,42888.64,38465.91,31000.0,32125.0,27415.91,26165.91,39431.82,32250.0,30397.73,29279.55,36547.73,34000.0,27840.91,41136.36,43272.73,41590.91,40454.55
